######################################################################
#
# 	CONDITIONS OF USE
# ____________________________________________________________________
# 
# 
# The files are freely available for download and use on the condition 
# that APNIC will not be held responsible for any loss or damage 
# arising from the use of the information contained in these reports.
# 
# APNIC endeavours to the best of its ability to ensure the accuracy 
# of these reports; however, APNIC makes no guarantee in this regard.
# 
# In particular, it should be noted that these reports seek to 
# indicate where resources were first allocated or assigned. It is not
# intended that these reports be considered as an authoritative 
# statement of the location in which any specific resource may 
# currently be in use.
# 
# For more information see: 
#
#       http://www.apnic.net/db/rir-stats-format.html
# or
#	ftp://ftp.apnic.net/pub/apnic/stats/apnic/README.TXT
#
######################################################################
#
2|apnic|20250224|81043|19830613|20250223|+1000
apnic|*|asn|*|12797|summary
apnic|*|ipv4|*|52411|summary
apnic|*|ipv6|*|15835|summary
apnic|JP|asn|173|1|20020801|allocated
apnic|NZ|asn|681|1|20020801|allocated
apnic|SG|asn|963|1|20220622|allocated
apnic|AU|asn|1221|1|20000131|allocated
apnic|JP|asn|1233|1|20020801|allocated
apnic|KR|asn|1237|1|20020801|allocated
apnic|SG|asn|1250|1|20020801|allocated
apnic|TW|asn|1659|1|20020801|allocated
apnic|KR|asn|1704|1|20020801|allocated
apnic|TW|asn|1768|2|20020801|allocated
apnic|KR|asn|1781|1|20020801|allocated
apnic|AU|asn|1851|1|20020801|allocated
apnic|HK|asn|2042|1|20161013|allocated
apnic|AU|asn|2144|1|20020801|allocated
apnic|KR|asn|2385|1|20020801|allocated
apnic|JP|asn|2497|32|20020405|allocated
apnic|NZ|asn|2537|1|20020801|allocated
apnic|JP|asn|2554|1|20020801|allocated
apnic|KR|asn|2563|1|20020801|allocated
apnic|NZ|asn|2569|2|20020801|allocated
apnic|IN|asn|2697|1|20020801|allocated
apnic|HK|asn|2706|1|20030514|allocated
apnic|AU|asn|2713|1|20020801|allocated
apnic|NZ|asn|2756|1|20020801|allocated
apnic|AU|asn|2764|1|20020801|allocated
apnic|HK|asn|2772|1|20100720|allocated
apnic|AU|asn|2823|1|20020801|allocated
apnic|JP|asn|2907|1|20020801|allocated
apnic|JP|asn|2915|1|20020801|allocated
apnic|NZ|asn|2925|2|20020801|allocated
apnic|SG|asn|3119|1|19931117|allocated
apnic|KR|asn|3357|1|20020801|allocated
apnic|HK|asn|3363|1|20031124|allocated
apnic|ID|asn|3382|1|20020801|allocated
apnic|JP|asn|3391|1|20020801|allocated
apnic|AU|asn|3395|1|20020801|allocated
apnic|CN|asn|3460|1|20020801|allocated
apnic|TW|asn|3462|1|20020801|allocated
apnic|JP|asn|3488|1|20020801|allocated
apnic|JP|asn|3510|1|20020801|allocated
apnic|PH|asn|3550|1|20020801|allocated
apnic|AU|asn|3558|1|20020801|allocated
apnic|KR|asn|3559|1|20020801|allocated
apnic|ID|asn|3583|1|20020801|allocated
apnic|GU|asn|3605|1|20020801|allocated
apnic|KR|asn|3608|1|20020801|allocated
apnic|HK|asn|3661|1|20020801|allocated
apnic|HK|asn|3662|1|20020801|allocated
apnic|HK|asn|3689|5|20100720|allocated
apnic|NZ|asn|3711|1|20020801|allocated
apnic|CN|asn|3717|1|20020801|allocated
apnic|NZ|asn|3747|1|20020801|allocated
apnic|KR|asn|3748|1|20020801|allocated
apnic|KR|asn|3757|1|20020801|allocated
apnic|SG|asn|3758|1|20020801|allocated
apnic|NZ|asn|3773|1|20020801|allocated
apnic|JP|asn|3775|1|20020801|allocated
apnic|KR|asn|3784|1|20020801|allocated
apnic|KR|asn|3786|1|20020801|allocated
apnic|NZ|asn|3787|1|20020801|allocated
apnic|KR|asn|3813|1|20020801|allocated
apnic|KR|asn|3825|1|20020801|allocated
apnic|TH|asn|3836|1|20020801|allocated
apnic|TH|asn|3839|1|20020801|allocated
apnic|AU|asn|3840|1|20020801|allocated
apnic|NZ|asn|3929|1|20020801|allocated
apnic|IN|asn|3969|1|20020801|allocated
apnic|KR|asn|3976|1|20020801|allocated
apnic|NP|asn|4007|1|20041213|allocated
apnic|KR|asn|4040|1|20020801|allocated
apnic|NZ|asn|4049|1|20020801|allocated
apnic|HK|asn|4058|1|20020801|allocated
apnic|KR|asn|4060|1|20020801|allocated
apnic|CN|asn|4134|1|20020801|allocated
apnic|HK|asn|4142|1|20020801|allocated
apnic|HK|asn|4158|1|20020801|allocated
apnic|AU|asn|4174|2|20020801|allocated
apnic|AU|asn|4197|1|20230713|allocated
apnic|KR|asn|4202|1|20020801|allocated
apnic|JP|asn|4251|1|20020801|allocated
apnic|TH|asn|4274|1|20020801|allocated
apnic|SG|asn|4352|1|20061121|allocated
apnic|AU|asn|4381|1|20020801|allocated
apnic|ID|asn|4382|1|20020801|allocated
apnic|HK|asn|4431|1|20020801|allocated
apnic|AU|asn|4433|1|20020801|allocated
apnic|ID|asn|4434|1|20020801|allocated
apnic|HK|asn|4515|1|20020801|allocated
apnic|HK|asn|4528|1|20040130|allocated
apnic|CN|asn|4538|1|20020801|allocated
apnic|HK|asn|4594|1|20020801|allocated
apnic|HK|asn|4605|1|20020801|allocated
apnic|AU|asn|4608|1|19950530|allocated
apnic|MO|asn|4609|1|19950615|allocated
apnic|NZ|asn|4610|1|20150904|allocated
apnic|CN|asn|4611|1|19950930|allocated
apnic|HK|asn|4612|1|19950930|allocated
apnic|NP|asn|4613|1|19950611|allocated
apnic|HK|asn|4614|1|19950704|allocated
apnic|PK|asn|4615|1|19950629|allocated
apnic|HK|asn|4616|1|19950707|allocated
apnic|BN|asn|4617|1|19950731|allocated
apnic|TH|asn|4618|1|19950810|allocated
apnic|HK|asn|4619|1|19950811|allocated
apnic|SG|asn|4620|1|20240701|allocated
apnic|TH|asn|4621|1|19950816|allocated
apnic|ID|asn|4622|1|19941221|allocated
apnic|HK|asn|4623|1|19950818|allocated
apnic|HK|asn|4624|1|19950805|allocated
apnic|HK|asn|4625|1|19950905|allocated
apnic|HK|asn|4626|1|19950908|allocated
apnic|HK|asn|4627|1|19950819|allocated
apnic|SG|asn|4628|1|19950912|allocated
apnic|JP|asn|4629|1|19950912|allocated
apnic|HK|asn|4630|1|19950925|allocated
apnic|SG|asn|4631|1|20031008|allocated
apnic|AU|asn|4632|1|19950912|allocated
apnic|HK|asn|4633|1|19950925|allocated
apnic|HK|asn|4635|1|19951020|allocated
apnic|TW|asn|4636|1|19951030|allocated
apnic|HK|asn|4637|1|19951030|allocated
apnic|FJ|asn|4638|1|19951026|allocated
apnic|HK|asn|4639|1|19951030|allocated
apnic|HK|asn|4640|1|19951108|allocated
apnic|HK|asn|4641|1|19951124|allocated
apnic|HK|asn|4642|1|19951130|allocated
apnic|AU|asn|4643|1|20031106|allocated
apnic|HK|asn|4644|1|19951206|allocated
apnic|HK|asn|4645|1|19951207|allocated
apnic|HK|asn|4646|1|20160104|allocated
apnic|AU|asn|4647|1|20110701|allocated
apnic|NZ|asn|4648|1|19951110|allocated
apnic|HK|asn|4649|1|19951224|allocated
apnic|HK|asn|4650|1|19951121|allocated
apnic|TH|asn|4651|2|19951227|allocated
apnic|AU|asn|4653|1|20110705|allocated
apnic|HK|asn|4654|1|19951224|allocated
apnic|HK|asn|4655|1|19960109|allocated
apnic|HK|asn|4656|1|19960113|allocated
apnic|SG|asn|4657|1|19960118|allocated
apnic|HK|asn|4658|1|19951224|allocated
apnic|CN|asn|4659|1|19960206|allocated
apnic|KR|asn|4660|1|19960222|allocated
apnic|PK|asn|4661|1|20071108|allocated
apnic|TW|asn|4662|1|19960201|allocated
apnic|KR|asn|4663|1|19951228|allocated
apnic|KR|asn|4664|1|19951226|allocated
apnic|KR|asn|4665|1|20041217|allocated
apnic|KR|asn|4666|1|19951028|allocated
apnic|NZ|asn|4667|1|20070808|allocated
apnic|KR|asn|4668|1|19950921|allocated
apnic|KR|asn|4669|1|19951004|allocated
apnic|KR|asn|4670|1|19950616|allocated
apnic|KR|asn|4671|1|19950530|allocated
apnic|JP|asn|4672|10|19950830|allocated
apnic|PH|asn|4682|1|19950830|allocated
apnic|JP|asn|4683|53|19950830|allocated
apnic|AU|asn|4736|1|19951023|allocated
apnic|AU|asn|4737|1|19960202|allocated
apnic|AU|asn|4738|1|19960202|allocated
apnic|AU|asn|4739|1|19960212|allocated
apnic|AU|asn|4740|1|19960222|allocated
apnic|TH|asn|4741|1|19960710|allocated
apnic|AU|asn|4742|1|19960307|allocated
apnic|AU|asn|4744|1|19960312|allocated
apnic|KR|asn|4745|1|19960308|allocated
apnic|HK|asn|4746|1|19960319|allocated
apnic|TW|asn|4747|1|19960319|allocated
apnic|HK|asn|4748|1|19960319|allocated
apnic|AU|asn|4749|1|20070809|allocated
apnic|TH|asn|4750|1|19960321|allocated
apnic|CN|asn|4751|1|20031107|allocated
apnic|AU|asn|4752|1|19960415|allocated
apnic|KR|asn|4753|1|19960417|allocated
apnic|IN|asn|4754|1|20080206|allocated
apnic|IN|asn|4755|1|19960513|allocated
apnic|KR|asn|4756|1|19960517|allocated
apnic|KR|asn|4757|1|19960527|allocated
apnic|IN|asn|4758|1|20100408|allocated
apnic|PH|asn|4759|1|19960607|allocated
apnic|HK|asn|4760|1|19960612|allocated
apnic|ID|asn|4761|1|19960716|allocated
apnic|TH|asn|4762|1|19960726|allocated
apnic|NZ|asn|4763|1|19960726|allocated
apnic|AU|asn|4764|1|20040122|allocated
apnic|SG|asn|4765|1|20030115|allocated
apnic|KR|asn|4766|1|19960422|allocated
apnic|TH|asn|4767|1|19960228|allocated
apnic|NZ|asn|4768|1|19980709|allocated
apnic|MY|asn|4769|1|20040517|allocated
apnic|NZ|asn|4770|1|20010330|allocated
apnic|NZ|asn|4771|1|19960104|allocated
apnic|SG|asn|4772|1|19960216|allocated
apnic|SG|asn|4773|1|20050110|allocated
apnic|JP|asn|4774|1|19960228|allocated
apnic|PH|asn|4775|1|19960809|allocated
apnic|TH|asn|4776|1|19960904|allocated
apnic|JP|asn|4777|1|19960809|allocated
apnic|AU|asn|4778|1|20031008|allocated
apnic|PH|asn|4779|1|20030611|allocated
apnic|TW|asn|4780|4|19960709|allocated
apnic|TH|asn|4784|1|19960913|allocated
apnic|JP|asn|4785|1|20180222|allocated
apnic|AU|asn|4786|1|20100524|allocated
apnic|ID|asn|4787|1|19961015|allocated
apnic|MY|asn|4788|1|19961020|allocated
apnic|CN|asn|4789|1|19961028|allocated
apnic|KR|asn|4790|4|19961008|allocated
apnic|AU|asn|4794|1|19961029|allocated
apnic|ID|asn|4795|1|19961030|allocated
apnic|ID|asn|4796|1|19961106|allocated
apnic|IN|asn|4797|1|20030828|allocated
apnic|CN|asn|4798|1|19960223|allocated
apnic|CN|asn|4799|1|19960104|allocated
apnic|ID|asn|4800|1|19961225|allocated
apnic|AU|asn|4801|1|20160708|allocated
apnic|AU|asn|4802|1|19961118|allocated
apnic|HK|asn|4803|1|20220919|allocated
apnic|AU|asn|4804|1|19961107|allocated
apnic|AU|asn|4805|1|19961106|allocated
apnic|AU|asn|4806|2|19961025|allocated
apnic|CN|asn|4808|1|19960109|allocated
apnic|CN|asn|4809|2|19960109|allocated
apnic|CN|asn|4811|1|19990512|allocated
apnic|CN|asn|4812|2|19960109|allocated
apnic|CN|asn|4814|1|19960109|allocated
apnic|CN|asn|4815|2|19960109|allocated
apnic|SG|asn|4817|1|20011130|allocated
apnic|MY|asn|4818|1|20011207|allocated
apnic|AU|asn|4819|1|20100406|allocated
apnic|AU|asn|4820|1|20011211|allocated
apnic|ID|asn|4821|1|20011211|allocated
apnic|AU|asn|4822|1|20011217|allocated
apnic|TH|asn|4823|1|20011217|allocated
apnic|AU|asn|4824|1|20011220|allocated
apnic|AU|asn|4825|1|20050614|allocated
apnic|AU|asn|4826|1|20011224|allocated
apnic|TH|asn|4827|1|20011227|allocated
apnic|HK|asn|4828|1|20011231|allocated
apnic|AU|asn|4829|1|20050906|allocated
apnic|NZ|asn|4830|1|20010612|allocated
apnic|NZ|asn|4831|1|20040812|allocated
apnic|ID|asn|4832|2|20010613|allocated
apnic|NZ|asn|4834|1|20010614|allocated
apnic|CN|asn|4835|1|20010913|allocated
apnic|SG|asn|4836|1|20010913|allocated
apnic|CN|asn|4837|1|20010917|allocated
apnic|AU|asn|4838|1|20050727|allocated
apnic|CN|asn|4839|2|20010919|allocated
apnic|AU|asn|4841|1|20100908|allocated
apnic|CN|asn|4842|1|20190614|allocated
apnic|CN|asn|4843|1|20010924|allocated
apnic|SG|asn|4844|1|20010925|allocated
apnic|TW|asn|4845|1|20010925|allocated
apnic|CN|asn|4847|1|19960910|allocated
apnic|HK|asn|4848|1|19951015|allocated
apnic|HK|asn|4849|1|19960219|allocated
apnic|MN|asn|4850|1|20060418|allocated
apnic|AU|asn|4851|1|20050111|allocated
apnic|AU|asn|4852|1|19960731|allocated
apnic|AU|asn|4853|1|20050909|allocated
